"Source","Your finding about AI features","Your finding about Human performance degradation types","Your finding about Causal links between them","Excerpt","Justification","Validation (y/n)"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: context_adaptive | Feature: Context-aware interpretation of data","","","Context awareness is possibly a more useful (and less anthropomorphic) label than situation awareness when applied to intelligent agents. It seeks to establish what the AI was responding to within its inputs and data sets. However, this is not always simply the superficial data in the environment (e.g., weather patterns that might affect flight route), but the way the AI will use statistical and other algorithms to interpret such data according to the task and goals at hand.","This excerpt directly addresses context-aware/adaptive behavior by describing how AI systems respond to inputs and data sets, using algorithms to interpret environmental data dynamically, which aligns with the research focus on dynamic environment response and variability.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: context_adaptive | Feature: Contextual awareness with evolving goals","","","Similarly, as for contextual awareness, a design challenge is how to ensure the human is aware of the goals the AI is working towards as they change and evolve.","This directly addresses context-aware/adaptive behavior, as it involves AI systems dynamically responding to changes (evolving goals) in the environment, which is a novel characteristic compared to static conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: context_adaptive | Feature: Dynamic goal shifting and safety conflicts","","","and where goals may dynamically shift during a scenario (e.g., for an emergency, as conditions worsen or become more stable). It can also be important where there are a mixture of safety and other goals, some of which may conflict with safety.","This excerpt describes an AI feature involving adaptive behavior, as it discusses dynamic goal shifts in response to changing conditions (e.g., emergencies) and potential conflicts between safety and other goals, which relates to context-aware/adaptive characteristics in high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: context_adaptive | Feature: Goal awareness and context awareness","","","Goal awareness (a precursor to goal alignment) is a higher-level attribute, related to context awareness, and ensures that human and AI goals are aligned. This becomes important in work arrangement scenarios where the AI is able to modify the goal hierarchy,","This excerpt describes an AI feature involving context awareness and adaptive behavior, as it highlights the AI's ability to align goals and modify goal hierarchies dynamically in response to work scenarios, which relates to context-aware/adaptive characteristics in high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: Explainability requirement for AI tasks","","","Communication for AI tools or systems below EASA’s category 2B may not need to be that advanced, though for 1B and 2A there may require explainability if the AI’s task or output is sufficiently complex.","This represents an AI feature related to opacity/explainability, as it explicitly mentions the need for explainability in AI systems when tasks or outputs are complex, which is a key characteristic distinguishing AI from conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: context_adaptive | Feature: Context-aware communication for human-AI collaboration","","","For human AI collaboration at the 2B level, there will likely not only need to be communication, but a degree of rapport, so that the AI is communicating in terms and contexts familiar to the human.","This represents an AI feature related to context-aware/adaptive behavior, as it highlights the AI's ability to communicate in terms and contexts familiar to humans, indicating adaptation to human interaction contexts, which is a novel characteristic compared to conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: adaptation | Feature: Adaptive Automation Update","","","This is effectively an update of the Adaptive Automation concept. The three HAIKU use cases are close to this notion of sliding or rather ‘flexible’ autonomy.","This represents an AI feature as it discusses the evolution of automation towards adaptive and flexible autonomy, which aligns with context-aware/adaptive behavior in AI systems, enabling dynamic response and environment adaptation in high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: control | Feature: Sliding autonomy","","","However, in contrast to the distinctive categorisations of EASA the HACO authors [ 89] suggest the concept of ‘sliding autonomy’, wherein the human (or the system) determines the level of autonomy.","This represents a control mechanism where autonomy levels can be adjusted dynamically, which is a feature in advanced AI systems for managing human-AI interaction, differing from fixed automation levels.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Proactive autonomy and agency","","","Proactiveness links again to EASA’s 2B and above categorisations, whereby the AI can initiate its own tasks and shift or re-prioritise goals, giving the AI a degree of autonomy and agency (since it can act under its own initiative).","This describes an AI capability to act on its own initiative, which is a novel characteristic compared to conventional automation that typically follows predefined instructions without such autonomy.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: Observability and Explainability","","","Observability refers to the transparency of the progress of the AI agent when resolving a problem, and can be linked to explainability, though in practice the AI’s workings might be routinely monitored via a dashboard or other visualisation rather than a stream of textual explanations, with the user able to pose questions as needed.","This excerpt directly discusses the transparency and explainability of AI systems, which are key features in human-AI interaction, particularly in high-risk industries where understanding AI behavior is critical for trust and regulation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Types and levels of AI autonomy","","","Having reviewed types of AI, levels of AI autonomy, and examples of prototype Intelligent Agents, as well as Human Factors themes relevant to AI-based systems in aviation, this section (Step 3) outlines the development of a preliminary set of Human Factors requirements for future aviation HAT systems.","This represents an AI feature as it directly discusses types of AI, levels of AI autonomy, and prototype Intelligent Agents, which are key characteristics of AI systems in human-AI interaction and high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI effectiveness in task execution","","","Overall, therefore, preliminary indications are that aviation needs neither anthropomorphic (personified) nor emotional AI. What matters is the effectiveness of the AI in the execution of its tasks.","This represents an AI feature as it explicitly mentions AI characteristics (anthropomorphic and emotional AI) and focuses on AI effectiveness, which relates to AI capabilities and performance in high-risk industries like aviation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: context_adaptive | Feature: Adaptability to team tempo and state","","","Adaptability to the tempo and state of the team functioning, as in the controllers’ approach to using ISA in UC4. With respect to Adaptability , one of the hallmarks of an effective team, it may be useful to resurrect High Reliability Organisation (HRO) theory [ 90]. All five of the pillars of HROs—preoccupation with failure, commitment to resilience, reluctance to simplify explanations, deference to expertise, and sensitivity to operations—could well apply to Human-AI Teams.","This directly describes an AI system's ability to adapt to dynamic team conditions and operational tempo, which aligns with context-aware/adaptive behavior characteristics.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI agency and decision authority","","","Anthropomorphism relates to the identity we assign an AI system, and hence the degree of agency we accord it. The more we ‘personify’ an IA, the more the danger of delegating responsibility to it, or of surrendering authority to its logic and databases, or of basically second-guessing ourselves rather than the AI.","This addresses AI's capability to be assigned agency and authority, which relates to its decision-making role in human-AI interaction.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: context_adaptive | Feature: AI situation representation and context assessment","","","HRO theory leans towards collective mindfulness of the team, and here is where it is necessary to consider and contrast how humans think ‘in the moment’, compared to how an AI might build up its own situation representation or context assessment.","This describes AI's capability to dynamically assess context and build situation representations, which is a core aspect of context-aware/adaptive behavior.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Human Factors integration in HAT system life cycle","","","Accordingly, in this section, the issue of how Human Factors can inform the different stages in the design, development, and deployment life cycle of new HAT systems is considered first.","This highlights the integration of Human Factors into AI system development, which is a key feature of novel AI systems that require human-AI interaction, unlike conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI forms for human interaction in safety-critical systems","","","It must accommodate the various forms of AI that humans may need to interact with in safety-critical systems (note—this currently excludes LLMs) both now and in the medium future, including ML and Intelligent Agents or Assistants (EASA’s Categories 1A through to 3A).","This directly mentions AI capabilities (ML and Intelligent Agents/Assistants) that humans interact with in safety-critical contexts, which is a core aspect of novel AI characteristics compared to conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: New requirements for HAT and autonomy-sharing","","","Third, a sample of the new requirements themselves, contextualised in HAT and autonomy-sharing terms in such a way that they can be applied meaningfully by HAT system developers, is presented.","This mentions new requirements for HAT and autonomy-sharing, which are specific to AI systems involving human-AI teaming, distinguishing them from traditional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI forms and categories for safety-critical interaction","","","It must accommodate the various forms of AI that humans may need to interact with in safety-critical systems (note—this currently excludes LLMs) both now and in the medium future, including ML and Intelligent Agents or Assistants (EASA’s Categories 1A through to 3A).","This excerpt directly mentions specific AI capabilities (ML and Intelligent Agents/Assistants) and their categorization (EASA's Categories 1A through 3A) relevant to human-AI interaction in safety-critical contexts, addressing the research focus on novel AI characteristics versus conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Human-AI system deployment considerations","","","This is the time to consider in earnest the ramifications of entering a human-AI system into an operational organisation, with requirements for competencies and training of end users, as well as socio-technical considerations such as staffing, user acceptance, ethics, and well-being.","This excerpt explicitly mentions 'human-AI system' and discusses deployment considerations specific to AI systems in operational settings, including training requirements and socio-technical factors like ethics and user acceptance.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI Architecture and Interaction Prototyping","","","TRLs 3-4 add a lot more detail, fleshing out the concept’s architecture, and gaining a picture of what the AI will look and feel like to interact with, via early prototypes and walk-throughs of human-AI interaction scenarios.","This excerpt represents an AI feature by describing the process of fleshing out AI architecture and interaction experiences, which are fundamental to AI system development and capability enhancement.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: interface | Feature: Human-AI Interaction Modes and Usage Context","","","primary human-AI interaction modes, e.g., ‘conventional’ (keyboard, mouse, touchscreen, etc.) or more advanced (speech, gesture recognition) can be made, as well as whether the AI will be used by a single person or a team.","This excerpt represents an AI feature by detailing the interface types (conventional and advanced) and the context of AI usage (single person or team), which are key aspects of AI system design and interaction capabilities.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: Operational explainability and AI assessment transparency","","","Sense-Making—this is where shared situation awareness, operational explainability, and human-AI interaction sit, and as such has the largest number of requirements. Arguably, this area could be entitled (shared) situation awareness, but sense-making includes not only what is happening and going to happen, but why it is happening, and why the AI makes certain assessments and predictions.","This directly addresses the opacity/explainability characteristic by mentioning 'operational explainability' and the need to understand 'why the AI makes certain assessments and predictions,' which relates to making AI's internal reasoning more visible and interpretable.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI Aberrant Behavior and Human Recovery","","","Errors and Failure Management—the requirements here focus on identification of AI ‘aberrant behaviour’ and the subsequent ability of human end users to detect, correct, or ‘step in’ to recover the system safely.","It highlights AI's potential for unpredictable failures (aberrant behavior) and the need for human oversight, aligning with novel AI characteristics like non-deterministic outputs and adaptive response challenges in high-risk contexts.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI autonomy and explainability","","","trustworthiness, AI autonomy, operational explainability, speech recognition and human-AI dialogue, Just Culture, etc.","This excerpt directly mentions AI autonomy and operational explainability, which are novel AI characteristics relevant to opacity/explainability and adaptive behavior in high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: non_deterministic | Feature: AI aberrant behaviour and human recovery","","","Errors and Failure Management—the requirements here focus on identification of AI ‘aberrant behaviour’ and the subsequent ability of human end users to detect, correct, or ‘step in’ to recover the system safely.","This represents an AI feature because it explicitly mentions AI 'aberrant behaviour', which implies non-deterministic or unpredictable failures characteristic of AI systems, and the requirement for human end users to manage such failures, distinguishing it from conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: New training requirements for AI systems","","","The requirements for preparing end users to work with and manage AI-based systems will not be ‘business as usual’; new training approaches and practices will almost certainly be required (e.g., pilots and controllers who participated in UC1, 2 and 4 simulations stated they would want specialised training).","This represents an AI feature because it specifies that AI-based systems require new training approaches, implying unique AI characteristics like non-deterministic decision-making or lack of explainability that differ from conventional automation, as evidenced by the need for specialized training for pilots and controllers.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Human mental model and oversight of AI tasks and goals","","","8. Does the human have a mental model of how the AI performs each task? Joint Cognitive Systems/ Cognitive Systems Engineering/ Situation Awareness HACO–goal awareness and predictability 9. Can the human monitor and adjust the AI’s goal formulation/prioritisation?","This text directly addresses key AI system features: the need for humans to understand how AI performs tasks (relates to opacity/explainability) and the ability to monitor and adjust AI goal formulation (relates to control mechanisms and human-AI interaction).","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: control | Feature: human override capability","","","6. In the case of AI control, can the human reject a task?","This relates to AI control mechanisms and human oversight, addressing trust and safety in AI-driven systems.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: control | Feature: task-switching control mechanisms","","","5. If there is task-switching, is it controlled by the human, by the AI, or a mixture of both?","This highlights AI capabilities in task management and control sharing, relevant to adaptive behavior and human-AI interaction in dynamic systems.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: interface | Feature: unexpected control transfer information","","","7. If the AI cedes control to the human unexpectedly, is there enough information for the human to safely take control?","This addresses opacity/explainability and interface design, as it concerns whether AI provides sufficient information for safe human intervention, a key challenge in AI systems.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: adaptation | Feature: dynamic autonomy level changes","","","4. If the level of autonomy changes dynamically, has it been determined when/why it changes?","This directly addresses context-aware/adaptive behavior where autonomy levels change dynamically in response to conditions, a novel AI characteristic compared to static conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Human-AI system usability and safety","","","The aim of the HAT HF requirements questions is to help the designers, developers and Human Factors specialists realise and deliver a highly usable and safe Human-AI system, one that end users can use effectively and will want to use (avoiding misuse, disuse, and abuse, as mentioned earlier).","This excerpt directly mentions a 'Human-AI system' and discusses its design for usability and safety, which relates to AI capabilities in human interaction contexts, as specified in the priority search for general AI capabilities.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: Explainability of AI goals and strategy","","","Can the AI explain both its current goal and longer-term strategy if it has one? Sense-Making Big 5 shared mental model","This relates to opacity/explainability by questioning whether AI systems can articulate their goals and strategies, which helps make their internal reasoning more transparent and understandable to users.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: Explainability in operational terms","","","Does explainability detail how the advice was derived, in end user (operational) terms? HRO theory: sensitivity to operations, JCS, Sense-Making, SA","This directly addresses the opacity/explainability characteristic by questioning whether AI systems can detail how advice is derived in user-understandable terms, which is a key aspect of making black-box behavior transparent.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: Transparency in data usage and omission","","","Can the human view both data that were used and data that were ignored by the AI, e.g., anomalies or outliers? HCD/HCA Ironies of Automation/AI","This addresses opacity/explainability by exploring whether AI systems allow humans to see both used and ignored data (e.g., anomalies), which is key to understanding AI decision-making and mitigating black-box effects.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: Multi-level explainability for trust judgment","","","Is explainability multi-levelled, based on different levels of abstraction, including context of the AI’s goals and ‘reasoning’ available to the end user, any historical perspective underlying the AI’s reasoning and key data sources it has accessed, so the user can fully judge its appropriateness to the situation, and progressively determine how far (or when) to trust the AI? Complex Systems/KBB","This addresses opacity/explainability by exploring whether AI systems provide multi-level explanations (goals, reasoning, history, data sources) to enable users to judge appropriateness and build trust, which is crucial for overcoming black-box limitations.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: interface | Feature: Non-AI displays for verification","","","42. Are there sufficient ‘unfiltered’ (non-AI) displays of critical functions to allow the human to verify independently true system status?","Refers to 'unfiltered (non-AI) displays' as a means for humans to verify system status independently, implying AI systems may filter or process information in ways that require separate verification mechanisms.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI failure or erroneous behavior","","","38. Are there sufficient skilled human crew to operate or recover or stabilise the system (i.e., the aircraft, air traffic situation, etc.) in case of AI failure or erroneous behaviour?","Directly mentions AI failure or erroneous behavior as a scenario requiring human intervention, indicating AI systems can exhibit problematic behaviors that necessitate human oversight.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI error modes and incorrect information","","","40. Is the human trained on AI error modes and how to verify AI results? 41. Has the human seen examples of AI incorrect information/advice in simulation training?","Mentions AI error modes and AI incorrect information/advice, indicating AI systems can produce errors or faulty outputs that require human verification and training.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI robustness against vulnerabilities","","","39. Is the AI robust against edge and corner cases, data bias, and data poisoning?ERROR and FAILURE MANAGEMENT HAZOP/STPA/FRAM","Explicitly queries AI robustness against edge/corner cases, data bias, and data poisoning, highlighting AI-specific vulnerabilities that can lead to failures.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI support features and human factors considerations","","","AI display aspects related to the ‘on/off’ status of the AI support; use of aural SA directional guidance; application of workload measures; consideration of how to better maintain a strategic overview during the emergency; pilot trust issues with the AI; consideration of the utility of personalisation of the AI to individual pilots; consideration of potential interference of the AI support with other alerts during an emergency; and use of HAZOP for identification of potential failure modes and recovery/mitigation measures.","This represents AI features as it explicitly mentions AI support, AI display, pilot trust with AI, personalisation of AI, and AI support interference, all of which are characteristics of AI systems in high-risk industries like aviation, aligning with the research focus on human-AI interaction.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: Explainability in Sense-Making","","","e.g., in UC2 on Roles and Responsibilities and Sense-Making; in UC4 on the detail of Human-AI Teaming interaction as well as Error and Failure Management, and in a further airport use case (UC5 in HAIKU, EASA category 1A/1B, at TRL 7) on Sense-Making (including the usability and explainability of the system) and Organisational Readiness","This directly references 'explainability of the system' as part of Sense-Making, which relates to the opacity/explainability characteristic of AI systems where internal reasoning may not be transparent.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: control | Feature: Human-AI interaction and control mechanisms","","","In UC1 the IA is triggered by detection of pilot startle; the pilot can activate/deactivate the IA at any time. In UC2 the IA is triggered by certain circumstances, and the pilots can ignore it if they choose to do so. For UC4 the IA suggests changes when required, and if the ATCO does nothing the change of landing/take-off sequence will be automatically implemented. The ATCO can also switch the IA on and off.","This excerpt represents an AI feature as it details the IA's context-aware triggering, adaptive behavior in responding to specific events, and the control mechanisms where humans can activate, deactivate, ignore, or override the IA, highlighting novel AI characteristics like dynamic interaction and human-in-the-loop control compared to conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Advisory AI with supervised training adaptation","","","YYes, for pilots in UC1 the AI is like a clever flight director or attention director, but the pilot remains in control. For UC2 the IA’s advice on three airports is very quick, with the supervised training still being fine-tuned to ensure the recommendations fit with pilots’ expertise and preferences. For UC4 the advice is seen as useful, giving them forewarning of arrivals/departures pressures.","This excerpt describes AI capabilities in providing advisory functions (flight/attention direction, quick advice, forewarning) and mentions supervised training being fine-tuned to fit user expertise and preferences, which relates to AI's adaptive and context-aware characteristics in human-AI interaction.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: context_adaptive | Feature: Situation representation building","","","Does the AI build its own situation representation? YYes, for UC1 coming from the aircraft data-bus, and from the pilot’s attentional behaviour (eye-tracking). Context is also from the SOPs (Standard Operating Procedures) for the events.","This describes the AI's ability to construct its own understanding of the situation by integrating multiple data sources (aircraft data-bus, pilot behavior, SOPs), which is a key characteristic of context-aware/adaptive AI systems that dynamically respond to their environment.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: explainability layer","","","In UC2 the icon display and explainability layer unpack the AI’s computation, showing which factors were prioritized.","This directly relates to opacity/explainability by showing how the AI's internal computations are made transparent to users, helping mitigate black-box behavior and trust challenges.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: interface | Feature: AI explainability and visualization interface","","","For UC1, the EFB (electronic flight bag) to the captain’s left summarises the AI’s situation assessment. For UC2 the results of the three airports selected are shown on the moving map display and in an icon-based display, with a further explainability layer accessible to the flight crew.","This represents an AI feature related to opacity/explainability, as it discusses how AI's internal reasoning (situation assessment and results) is made transparent and accessible to end-users via visualizations and explainability layers, addressing trust and regulation challenges in high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: control | Feature: Human modification of AI parameters/goals","","","In UC2 the flight crew can modify the goal priorities of the IA. In UC4 the ATCOs cannot modify the parameters.","This directly addresses a control mechanism in human-AI interaction, specifically whether humans can modify AI parameters or goal priorities, which is a key feature in high-risk industries for managing AI behavior.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Error detection and guidance with dynamic interface feedback","","","In UC1, the AI is intended to detect temporary performance decrement due to startle, and to guide the pilot, but does not go as far as correcting his/her action. However, the dynamic highlighting of key instruments, along with callouts (e.g., “vertical speed!”) could be considered a form of error correction.","This excerpt describes AI capabilities for detecting human performance decrements and providing guidance through dynamic interface elements, which are novel features compared to conventional automation, focusing on human-AI interaction in high-risk contexts.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: AI explainability vs black-box nature","","","Is at least some operational explainability possible, rather than the AI being a ‘black box’? Y In UC1, explainability is via the EFB. However, due to the very short response times in a loss of control in flight scenario, pilots had little time for explainability in the two simulations. This could differ in a scenario where the event was less clear cut, e.g., electronics failures, bus-bar failures, automation malfunction, etc. For UC2, there is a high degree of explainability. In UC4, the explainability needs are basic (aircraft on approach coming in too fast/too slow, etc.) and are deemed sufficient.","Directly addresses the opacity/explainability characteristic by questioning whether AI can be explainable rather than a 'black box', and provides specific examples of explainability levels in different operational contexts, which is a key novel AI feature versus conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Error detection and absence of specific AI failure modes","","","In all three simulations, pilots noticed if something was incorrect, usually due to an error in the IA’s database. Such errors should largely be eradicated by TRL 9. No edge cases or hallucinations nor alignment errors have arisen so far.","This excerpt directly mentions AI system characteristics: errors in the AI's database (a data-driven component), and specific AI failure modes like hallucinations and alignment errors, which are novel AI features compared to conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: opacity | Feature: Operational Explainability and AI Error Management","","","Human-IA Teamworking arrangements, sensemaking, shared situation awareness and operational explainability, AI error and failure management, and how to train end users to work effectively with IAs.","This represents an AI feature because it directly mentions 'operational explainability' and 'AI error and failure management', which relate to the opacity/explainability characteristic of novel AI systems, addressing challenges in understanding and managing AI behavior in safety-critical settings.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: cognitive_overload | Severity: 7","","Startle response is when a pilot in the cockpit is startled by a sudden, unexpected event in or outside the cockpit, leading to a temporary disruption of cognitive functioning, usually lasting approximately 20 s.","Severity Justification: The disruption is temporary (20 seconds), indicating moderate severity as it impairs cognitive functioning but is not permanent. | Relevance Justification: Directly mentions cognitive functioning disruption, aligning with cognitive overload category in the research focus on human performance degradations in high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: behavioral_changes | Severity: 7","","The last time there was a radical change in human-machine arrangements—namely the introduction of glass cockpits into the industry—it initially led to a spate of ‘automation-assisted accidents’, Appendix 1 in [ 15].","Severity Justification: The excerpt explicitly mentions 'a spate of ‘automation-assisted accidents’', which implies significant negative outcomes and performance issues, warranting a high severity score due to the direct reference to accidents. | Relevance Justification: This is highly relevant as it directly discusses performance degradation (accidents) resulting from changes in human-machine interaction, specifically automation, aligning with the research focus on novel AI/autonomous system characteristics vs. conventional automation in high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: trust_issues | Severity: 7","","The pilot must therefore come to trust the IA, or its advice will be rejected.","Severity Justification: Trust issues can lead to rejection of AI advice, potentially causing errors or inefficiencies in high-risk operations, but the text does not specify severe outcomes. | Relevance Justification: Directly mentions trust as a factor in human-AI interaction, aligning with the research focus on opacity and explainability challenges.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: behavioral_changes | Severity: 6","","a sudden unexpected serious event (e.g., a lightning strike) can cause ‘startle’, leading to diminished cognitive performance for a short period of time (e.g., 20 s ) [10].","Severity Justification: The degradation is explicitly stated as 'diminished cognitive performance' and is linked to a serious event, but it is described as temporary ('for a short period of time'), limiting its severity. | Relevance Justification: This directly mentions human performance degradation ('diminished cognitive performance') in the context of a novel AI system (FOCUS IA) designed to address it, aligning with the research focus on human-AI interaction in high-risk industries like transportation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: misinterpretation | Severity: 7","","there remains the opacity issue, wherein the AI is often akin to a ‘black box’, and as such may surprise, confound, or confuse the end users, because most end users will not be able to follow the computations underpinning AI advice.","Severity Justification: The excerpt directly states that AI opacity can cause users to be surprised, confounded, or confused, which are clear indicators of performance degradation due to misunderstanding AI outputs, though it does not specify severe outcomes like errors or accidents. | Relevance Justification: This excerpt is highly relevant as it explicitly mentions novel AI-related degradations (opacity, black-box behavior) that can negatively impact human performance (surprise, confound, confuse) compared to traditional automation, aligning with the research focus on opacity/lack of explainability.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: behavioral_changes | Severity: 6","","As work complexity grew, constructs such as situation awareness and mental workload came to the fore, and as automation became the norm, there was a corresponding need to consider complacency and bias, as well as a move from a focus on human error to system resilience.","Severity Justification: The excerpt mentions complacency and bias as significant issues arising from automation, which can degrade human performance by reducing vigilance and increasing errors, but it does not specify novel AI-related degradations. | Relevance Justification: This excerpt is relevant as it addresses human performance degradation linked to automation, including complacency and bias, which are key factors in the research focus on AI vs. traditional automation, though it does not explicitly mention novel AI characteristics.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: behavioral_changes | Severity: 6","","humans are allocated tasks and functions the AI can’t easily do, whether or not the human can do them or take over from the AI when it fails.","Severity Justification: The text implies a systemic issue where humans may be assigned tasks they cannot perform or may fail to take over effectively from AI, suggesting moderate severity in performance degradation. | Relevance Justification: This directly relates to human performance degradation in the context of novel AI systems, as it highlights how task allocation based on AI limitations can lead to human inability to perform tasks or handle failures, which is a key aspect of human-AI interaction in high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: cognitive_overload | Severity: 7","","As an example, as automation increases, human work can require exhausting monitoring tasks, so that rather than needing less training, operators need to be trained more to be ready for the rare but crucial interventions.","Severity Justification: Exhausting monitoring tasks indicate high cognitive load and potential fatigue, which can degrade performance, especially during rare but crucial interventions. | Relevance Justification: Directly addresses human performance degradation due to automation, specifically cognitive overload from monitoring tasks and the need for increased training, which is relevant to the research focus on AI/autonomous system characteristics in high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: cognitive_overload | Severity: 5","","This led to the study of mental workload (MWL), considering the task demands vs. human capabilities and capacities, including problems of overload and underload [61,63].","Severity Justification: The text explicitly mentions 'problems of overload and underload' as part of mental workload study, indicating performance degradation related to cognitive load, but does not specify severity or context. | Relevance Justification: The text directly addresses cognitive load issues (overload and underload) as part of human performance in relation to task demands, which aligns with the research focus on human-AI interaction degradations, though it is not explicitly linked to novel AI characteristics.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: situational_awareness | Severity: 6","","As complexity rose in human-plus-automation environments such as cockpits and air traffic control centres, the question became how well the human understood what was going on, what was going to happen in the near future, and how to (re)act.","Severity Justification: The text explicitly questions human understanding of what's happening and what will happen, indicating potential degradation in situational awareness, though it doesn't describe actual degradation. | Relevance Justification: Directly addresses human understanding in automation environments, which relates to situational awareness degradation, though it frames it as a question rather than stating degradation occurred.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","","Category: cognitive_overload | Severity: 5","","The next question became how much the pilot or air traffic controller could assimilate from their controls and displays, in both short time frames and longer durations.","Severity Justification: Questions human capacity to assimilate information from controls and displays, suggesting potential cognitive overload issues, but doesn't confirm actual degradation. | Relevance Justification: Directly addresses human information processing capabilities in automation contexts, relevant to cognitive overload concerns, though framed as a question.","y"
